,Primary_Root_3DAS,Topmost_Leaf_V3,Stem_and_SAM_V3,Immature_Tassel_V13,Meiotic_Tassel_V18,Anthers_R1,Immature_Cob_V18,Whole_Seed_12DAP,Endosperm_12DAP,Seminal_Roots_7DAS,Crown_Roots_Nodes1-3_V7,Brace_Roots_Node6_V13,Shoot_Tip_V5,Silks_R1,Whole_Seed_10DAP,Endosperm_18DAP,Embryo_18DAP,Root_MZ_and_EZ_3DAS,Root_DZ_3DAS,Root_CP_3DAS,Root_Stele_3DAS,Primary_Root_GH_6DAS,Root_System_7DAS,Primary_Root_7DAS,Primary_Root_Z1_7DAS,Primary_Root_Z2_7DAS,Primary_Root_Z3_7DAS,Primary_Root_Z4_7DAS,Crown_Roots_Node4_V7,Crown_Roots_Node5_V7,Crown_Roots_Node5_V13,Coleoptile_GH_6DAS,Pooled_Leaves_V1,Tip_Stage2_Leaf_V5,Base_Stage2_Leaf_V5,Tip_Stage2_Leaf_V7,Base_Stage2_Leaf_V7,Eighth_Leaf_V9,Eleventh_Leaf_V9,Thirteenth_Leaf_V9,Immature_Leaves_V9,Thirteenth_Leaf_VT,Thirteenth_Leaf_R2,Leaf_0DAP,Leaf_6DAP,Leaf_12DAP,Leaf_18DAP,Leaf_24DAP,Leaf_30DAP,Stem_and_SAM_V1,First_Internode_V5,Fourth_Internode_V9,Internode_0DAP,Internode_6DAP,Internode_12DAP,Internode_18DAP,Internode_24DAP,Internode_30DAP,Pre-pollination_Cob_R1,Whole_Seed_2DAP,Whole_Seed_4DAP,Whole_Seed_6DAP,Whole_Seed_8DAP,Whole_Seed_14DAP,Whole_Seed_16DAP,Whole_Seed_18DAP,Whole_Seed_20DAP,Whole_Seed_22DAP,Whole_Seed_24DAP,Endosperm_14DAP,Endosperm_16DAP,Endosperm_20DAP,Endosperm_22DAP,Endosperm_24DAP,Embryo_16DAP_R1,Embryo_20DAP,Embryo_22DAP,Embryo_24DAP,Pericarp_18DAP
MLKp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLKp2,0,0,19.34,3.19,1.52,0,11.39,0,0.94,0,0,0.97,3.95,0,0,0,17.82,0,0,0,0,5.36,0,0.57,2.63,2.21,0,0,0,2.65,1.21,14.46,0,0,0,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,10.87,0,9,5.58,0,0,13.81,0,0,7.16,7.12,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,37.63,3.45,4.07,0,0
MLKp3,3.77,0,12.76,11.31,1.99,11.49,11.49,6.1,17.85,3.89,3.82,5.26,12.49,1.51,5.19,5.69,15.6,10.72,3.11,2.05,5.44,9.09,4.8,3.9,10.76,10.65,4.93,0.63,5.44,7.32,2.98,9.94,0,0,2.44,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0,16.06,5.06,8.94,0.33,0,1.55,0.89,1.2,1.42,9.91,8.21,7.65,4.49,3.19,14.63,2.48,5.59,4.67,4.89,5.33,19.36,5.14,0,0,0,27.72,19.22,12.38,8.53,0
MLKp4,12.8,2.42,81.04,100.47,4.88,0,98.92,33.25,71.31,17.28,6.62,8.66,94.63,4.46,19.82,59.74,243.06,27.2,7.92,2.92,7.31,25.11,15.19,14.62,28.13,25.92,17.6,1.61,10.53,15.65,10.25,68.65,0,0,19.83,0,72.98,0,0,0,9.21,0,0,0,0,0,0,0,0,95.83,25.81,82.47,3.08,0,0,0.93,0.54,0,91.38,79.34,54.63,20.11,17,35.91,37.22,48.72,42.19,45.43,32.39,46.92,66.02,39.86,31.48,19.09,400.23,184.04,180.93,102.28,3.42
MLKp5,21.56,10,11.29,17.91,40.66,9.82,19.19,24.19,14.63,35.98,20.88,6.4,16.88,10.27,25.57,26.01,4.22,1.78,26.45,18.36,61.86,9.96,45.21,51.99,2.93,32.5,28.03,63.09,24.09,19.46,18.04,8.11,7.51,7.64,16.41,11.08,11.24,9.02,12.74,17.52,30.2,5.92,18.91,18.4,16.58,14.46,19.66,47.32,98.24,9.68,15.64,9.95,15.41,15.39,13.96,15.26,17.99,21.99,15.86,14.09,12.37,24.43,19.09,19.78,25.05,24.6,31.6,34.3,33.85,14.93,20.86,39.42,48.33,42.12,2,3.5,5.92,5.68,32.02
MLKp6,103.24,48.44,74.67,76.31,56.4,47.63,43.77,95.42,150.15,79.95,96.2,122.35,69.16,253.97,95.88,123.95,115.47,201.73,63.89,85.58,49.15,131.03,82.28,76.19,193.81,60.31,93.88,78.86,83.09,100.98,93.38,167.91,46.31,37.45,88.17,44.62,57.65,59.3,53.67,37.86,53.07,82.74,70.03,50.8,72.95,78.65,104.82,61.66,77.34,88.49,59.9,70.13,67.01,66.61,90.1,76.08,67.79,86.42,112.52,99.57,118.77,82.27,92.57,135.34,122.05,108.89,89.82,82.85,93.15,195.93,135.88,88.92,74.22,73.16,121.02,103.76,101.31,142.65,123.41
MLKp7,77.42,40.64,52.9,82.32,52.14,36.53,64.29,95.32,148.47,60.62,63.04,99.21,69.43,86.77,63.55,159.27,93.78,119.52,54.39,70.09,54.25,68.94,58.6,59.33,118.31,62.82,73.67,71.05,70.57,68.88,85.01,97.57,30.12,34.44,63.09,40.47,88.06,51.43,43.92,47.46,49.45,47.41,63.97,38.91,70.37,43.87,53.06,64.48,45.8,69.9,47.67,81.05,46.93,65.29,59.45,59.97,54.15,71.29,80.89,69.46,74.07,54.39,56.86,119.04,125.42,121.11,86.26,81.11,82.58,163.58,203.77,95.45,82.14,68.75,101.04,101.85,94.64,108.28,65.83
MLKp8,27.76,23.01,15.04,19.79,52.14,34.96,26.95,44.96,21.4,42.92,33.88,10.41,16.84,11.64,35.25,36.33,10.2,5.8,34.68,29.69,88.52,19.68,49.38,55.51,5.43,28.96,31.92,66.81,29.5,26.23,28.76,9.91,25.68,18.25,22.84,23,16.3,17.75,32.13,30.2,35.9,18.59,12.01,21.51,23.32,25.91,16.74,37.91,102.65,13.66,20.34,11.49,24.52,18.67,27.72,27.08,30.3,20.65,25.86,20.36,22.49,28.75,30.83,42.3,42.71,39.71,39.68,40.97,45.53,29.91,34.23,35.61,38.64,47.81,10.47,10.04,11.35,11.55,49.76
MLKt1,50.77,53.74,77.7,87.99,70.78,66.82,81.33,94.59,136.52,47.94,54.98,84.86,86.43,62.93,77.63,82.89,70.26,94.83,43.38,48.56,39.84,50.1,59.86,67.31,97.65,51.41,68.67,67.98,75.43,67.33,66.42,88.81,51,47.03,63.85,45.63,73.9,26.26,33.96,37.84,61.72,46.42,52.33,32.08,55.91,67.66,44.77,42.67,57.19,79.39,80.74,57.24,55.26,58.19,66.77,78.83,72.9,66.17,73.47,70.08,71.26,64.53,66.79,116.09,103.03,86.44,78.38,96.68,136.56,133.85,104.29,95.15,105.35,132.43,76.24,68.39,94.97,98.43,76.32
MLKt2,45.08,24.64,50.8,54.75,38.24,28.99,51,33.26,38.97,40.11,36.95,55.57,56.14,58.54,41.67,66.08,62.98,78.78,29.43,34.57,38.89,50.6,36.71,36.79,76.17,38.13,40.7,31.48,41.84,37.96,47.01,73.72,21.94,21.46,54.86,17.97,66.8,20.77,26.21,32.84,47.8,23.46,32.5,22.1,23.86,25.17,28.8,27.36,31.98,59.87,53.12,66.96,45.77,43.95,43.11,48.02,46.23,50.62,66.11,55.67,56.94,43.56,43.4,41.63,53.99,58.15,62.73,77.67,73.82,46.21,60.83,64.45,86.97,63.34,49.68,78.29,91.15,103.43,41.11
NEAP1A,9.88,9.89,40.09,75.45,3.65,3.05,85.45,38.75,84.22,31.92,10.93,12.26,52.3,6.84,13.4,137,128.81,19.62,21.37,23.44,3.39,21.02,36.99,36.08,32.92,41.46,34.39,33.13,28.51,22.84,17.95,33.1,13.68,7.18,31.71,4.72,83.84,10.47,12.86,11.37,19.85,19.82,42.48,17.48,22.74,8.51,14.33,7.3,27.45,61.17,21.65,37.88,1.91,4.39,4.19,4.96,7.17,9.01,65.37,43.79,32.55,8.3,10.85,58.6,77.25,83.77,148.02,153.51,165.18,113.66,139.62,211.95,249.9,238.23,119.69,94.03,95.89,53.25,5.03
NEAP1B,1.38,0.05,7.67,10.44,0.16,0,15.86,1.84,4.17,4.61,1.09,0.05,11.09,2.37,4.95,3.25,15.92,2.52,2.53,0.24,2.03,0.93,2.26,1.06,1.37,7.94,1.34,0.27,1.17,4.07,0.85,2.48,0,0,1.98,0,7.16,0,0,0,0.52,0,0,0,0,0,0,0,0,9.77,4.13,8.78,0.41,0,0,0,0.55,0,6.27,5.56,7.29,2.68,3.41,3.51,0,2.39,1.57,0.19,1.95,4.76,0,0,0,0,33.84,12.04,14.96,6.81,0
NCH1,115.75,107.67,112.8,228.11,98.47,67.37,238.65,121.78,225.66,90.9,70.94,70.23,145.68,174.67,98.54,171.99,149.49,194.63,65.74,114.83,86.57,117.65,85.26,89.17,144.85,75.47,94.77,69.27,78.42,75.92,81.33,188.88,105.9,83.72,127.11,102.4,161.25,71.31,74.27,90.74,137.1,81.75,81.83,75.46,67.74,69.94,67.56,61.1,65.84,172.92,116.83,155.38,85.37,71.18,63.12,67.04,73.79,67.58,167.96,136.46,120.67,99.47,90.26,138.82,170.05,153.7,160.49,201.87,209.72,207.2,236.93,213.07,276.3,250.83,170.27,138.73,139.96,112.6,74.55
NCH2,69.18,125.82,81.16,146.45,118.79,73.2,190.45,85.2,117.54,68.5,64.37,66.19,123.77,147.63,79.31,97.49,110.36,80.27,50.9,58.82,79.18,87.09,62.4,70.07,65.23,53.4,57.51,57.12,77.38,70.43,97.87,122.18,176.22,118.94,125.02,155.73,128.81,122.93,70.28,64.05,108.24,169.8,127.94,141.55,111.95,106.34,117.69,73.94,83.38,112.34,97.24,143.9,105.29,86.11,77.97,80.84,85.72,78.71,97.92,90.26,80.54,74.93,69.5,77.77,94.38,88.54,95.67,123.5,149.63,87.81,88.24,100.43,143.52,176.93,106.89,118.07,120.8,114.86,63.68
KAKU4A,36.92,134.79,75.06,281.45,108.98,70.67,282.2,44.51,7.34,57.26,102.73,56.93,58.92,38.13,53.51,4.96,70.25,46.51,31.78,39.24,36.13,34.93,69.52,82.15,63.74,47.4,73.38,97.15,84.65,51.15,86.46,73,201.56,131.74,95,206.53,157.21,180.04,70.35,85.89,104.51,203.66,148.14,230.63,239.35,186.02,218.8,131.73,176.92,107.44,72.25,77.07,96.46,139.95,55.31,67.08,69.41,104.94,81.1,71.32,64.77,94.07,58.79,23.24,16.73,18.65,14.91,21.86,16.75,0,0,0.56,1.13,0,62.67,61.26,72.04,53.02,51.71
KAKU4B,32.53,109.41,79.01,205.14,85.97,54.46,251.91,55.86,26.84,42.13,91.06,36.5,81.06,49.97,59.72,29.65,94.82,25.8,47.69,40.24,39.18,23.74,52.38,72.23,33.06,43.6,56.25,77.87,75.27,78.54,69.33,53.48,131.44,107.63,85.13,168.74,125.46,117.16,60.86,58.57,71.63,192.13,142.72,200.1,178.59,156.01,175.97,112.06,129.81,98.59,66.44,108.52,90.06,97.34,58.34,80.25,74.26,73.46,100.29,90.62,78.84,117.36,78.87,39.97,28.27,29.88,40.14,38.78,37.73,20.11,8.22,36.06,41.51,11.28,78.53,93.47,101.74,70.4,75.49
SUN1,104.11,96.09,96.14,121.84,86.79,120.24,121.99,99.81,120.71,85.02,77.36,98.87,133.7,86.61,107.61,120.48,98.6,129.86,82.45,72.09,98.27,111.71,88.83,90.51,124.96,75.23,84.92,83.31,80.38,90.24,88.86,146.56,127.95,88.75,120.14,104.48,125.51,95.26,68.9,65.55,88.29,125.91,126.46,84.84,83.92,99.04,100.73,96.4,86.46,130.09,113.24,123.03,58.05,57.33,73.97,75.01,76.46,75.99,147.65,129.3,128.45,95.33,102.34,122.61,132.02,109.68,87.95,71.32,80.29,155.77,143.29,82.07,64.82,74.38,112.76,69.73,62.25,58.47,99.14
SUN2,113.53,88.97,87.58,145.58,94.74,89.71,144.95,147.53,263.3,113.7,72.71,85.33,115.22,94.29,115.01,88.27,111.68,153.26,112.44,108.11,96.36,117.79,117.56,107.61,156.98,100.07,97.21,69.46,70.38,100.29,69.31,124.4,96.01,82.25,106.3,100.23,136.96,49.82,72.81,80.78,134.45,59.58,57.74,53.12,63.43,65.92,68.77,64.7,73.56,119.2,89.79,137.69,43.97,36.45,42.36,40.69,39.11,46.27,101.17,110.29,118.74,111.25,112.55,127.99,77.44,80.11,78.82,66.92,66.39,146.14,111.31,75.63,70.39,77.73,152.25,106.72,89.89,78.64,65.37
SUN3,89.29,36.29,53.95,25.77,79.47,33.35,23.57,63.19,80.27,89.65,48.38,87.38,32.81,201.58,66.05,43.05,19.27,147.31,50.02,70.85,33.85,79.69,94.66,82.93,119.44,57.97,76.58,63.28,52.59,66.66,72.73,112.76,17,12.8,71.41,20.59,68.4,24.69,25.01,45.23,79.23,0,5.38,0,14.68,14.31,11.62,12.64,16.28,47.5,43.88,34.72,72.16,32.85,64.87,29.55,60.06,62.08,94.05,97.38,99.07,64.02,69.14,83.24,85.9,58.12,59.59,52.17,57.03,72.97,70.71,48.76,46.97,51.32,22.26,20.53,21.2,30.7,130.63
SUN4,58.32,21.34,20.22,15.28,31,12.51,13.94,38.78,46.79,44.1,26.68,54.52,19.45,112.73,57.38,22.36,44.17,119.95,22.03,50.74,16.59,64.42,37.96,28.37,100.93,20.42,32.85,14.72,27.46,46.55,42.33,72.25,12.51,5.06,48.85,10.17,38.83,14.68,26.37,27.94,47.98,3.39,5.98,9.38,9.58,9.66,7.49,6.86,6.72,25.44,13.97,33.99,22.39,7.72,27.24,14.24,17.96,16.65,42.69,42.57,54.57,51.61,54.22,33.71,38.12,28.75,26.38,22.93,21.08,27.14,27.8,23.58,22.35,17.66,48.93,33.68,34.24,20.64,70.13
SUN5,0,0,0,0,0,507.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPN,287.56,184.24,321,378.36,282.37,162.23,326.43,453.62,728.3,277.99,255.16,308.02,423.74,293.5,464.93,426.24,357.31,463.78,205.33,214.75,216.49,341.35,294.45,279.57,453.23,277.82,313.03,242.76,278.15,277.57,284.8,527.44,135.31,109.69,398.23,141.14,342.5,177.16,167.97,174.54,242.8,152.36,152.05,201.78,237.88,133.67,158.79,147.74,196.36,393.06,370.24,450.88,213.87,178.97,182.31,173.98,163.06,168.56,368.51,430.21,402.01,360.54,421.64,461.75,385.41,368.57,341.51,315.09,320.42,657.34,355.47,377.93,368.9,394.43,291.89,338.46,289.19,287.22,311.7
SGT1,439.39,409.41,468.25,561.33,366.03,219.54,472.3,438.7,693.65,514.7,540.61,524.27,558.12,459.58,446.35,452.59,557.41,616.95,404.31,425.1,336.46,466.32,577.53,590.93,601.14,452.8,544.18,530,549.28,517.49,557.42,626.39,376.53,312.43,499.77,323.46,499.59,475.04,345.35,325.94,385.28,484.21,449.43,437.35,513.85,428.32,422.53,362.46,399.61,541.31,520.53,618.52,475.78,524.47,359.43,400.14,396.08,485.1,434.5,497.68,460.82,399.18,403.68,455.15,442.38,418.57,407,374.16,437.87,570.33,537.15,411.04,403.98,455.54,521.96,451.77,492.48,497.09,377.29
CDK1,61.03,40.26,53.66,74.72,62.16,35,62.65,72.39,127.91,53.9,46.56,58.15,53.3,52.72,63.67,123.02,98.25,77.71,54.03,58.03,61.17,57.74,53.52,54.47,71.3,54.59,53.59,51.13,50.38,52.53,46.57,69.79,34.96,34.12,54.7,45.88,56.8,35.39,40.16,47.16,44.71,21.84,24.74,39.9,44.07,41.75,35.01,43.97,42.5,69.8,46.58,54.01,48.77,43.14,44.37,46.13,46.14,48.58,53.96,51.98,53.82,56.81,55.3,103.86,114.69,90.51,92.45,98.22,106.41,133.32,148.97,111.49,138.25,124.75,105.69,74.54,75.57,55.56,53.82
